Date,Open,High,Low,Close,Adj Close,Volume,RS,RSI
10-05-2020,1018.049988,1054.900024,1018.049988,1048.699951,1026.477295,14212509,2.195577234,68.70674915
10-06-2020,1055,1060,1031.349976,1055.75,1033.37793,9090819,2.24659869,69.19853374
10-07-2020,1044.900024,1072,1035.5,1066.550049,1043.949097,9284008,2.102041875,67.76316889
10-08-2020,1090,1124,1088.400024,1093.699951,1070.523682,21482613,2.406462039,70.64402924
10-09-2020,1095.099976,1113.300049,1088.449951,1106.800049,1083.346069,10567867,3.095095092,75.58054264
10-12-2020,1123,1140,1112.099976,1132.099976,1108.109863,14633537,3.446444898,77.51012274
10/13/2020,1135.550049,1166.050049,1135.550049,1157.800049,1133.265503,17523825,4.160885109,80.62347875
10/14/2020,1162,1164.900024,1131.099976,1137,1112.906128,16649573,2.715434331,73.08524628
10/15/2020,1180,1186,1092.5,1108.25,1084.765381,44288251,3.518480045,77.86866402
10/16/2020,1113.849976,1135.949951,1096.900024,1127.5,1103.607422,18365685,3.199997228,76.19046048
10/19/2020,1135,1139,1115.300049,1125.900024,1102.041382,12902123,3.16697737,76.00178952
10/20/2020,1118.900024,1144.699951,1110,1137.5,1113.395508,10448776,3.475914029,77.65819465
10/21/2020,1141.150024,1154.349976,1135,1148.349976,1124.015625,19811433,3.739001125,78.8985068
10/22/2020,1142,1158,1123.800049,1129.050049,1105.124634,11271335,2.58126474,72.07690376
10/23/2020,1133,1135,1120.150024,1122.5,1110.516479,9069862,1.958442182,66.19842679
10/26/2020,1122.25,1129.599976,1103.150024,1112.449951,1100.57373,6309368,1.651348862,62.28334889
10/27/2020,1105.699951,1109.699951,1077.150024,1090.849976,1079.204346,10172479,1.223653211,55.02895888
10/28/2020,1095.5,1104.75,1070.050049,1076.550049,1065.057007,7608392,0.860513146,46.25138757
10/29/2020,1070,1082,1060.099976,1074.849976,1063.375122,6935616,0.743681776,42.65008595
10/30/2020,1072,1083.599976,1052.349976,1060.599976,1049.277222,8800386,0.485241273,32.67087187
11-02-2020,1065,1079.949951,1051.099976,1072.300049,1060.852417,7183119,0.384449355,27.76911654
11-03-2020,1072,1079.400024,1057.5,1062.550049,1051.206543,7204782,0.417677239,29.4620826
11-04-2020,1068,1116,1066.800049,1093.949951,1082.271118,15702690,0.855700782,46.11200203
11-05-2020,1109.900024,1123,1099,1104,1092.213989,9568890,0.762865735,43.27418247
11-06-2020,1108,1121.099976,1091.699951,1112.75,1100.870483,8807127,0.865127959,46.38437566
11-09-2020,1129.300049,1146,1121.150024,1136.550049,1124.416504,10160320,0.990256913,49.75523041
11-10-2020,1113.849976,1113.849976,1078,1091.050049,1079.402222,15622869,0.59930121,37.47269158
11-11-2020,1096,1126.349976,1087,1122.5,1110.516479,12514800,0.947048948,48.64022289
11-12-2020,1128.099976,1142,1113.75,1117.75,1105.817139,9180976,0.961033642,49.0064842
11/13/2020,1120,1133,1117,1124.199951,1112.198242,6363212,1.105051432,52.49522245
11/14/2020,1134,1140,1115,1124,1111,10003678,1.366501293,57.74352615
11/17/2020,1144.75,1145,1112.650024,1123.699951,1111.703613,12813968,1.616741098,61.78452654
11/18/2020,1128.5,1132.699951,1101.449951,1110.550049,1098.694092,9839468,1.406144628,58.43973848
11/19/2020,1100,1114.699951,1093.800049,1096.75,1085.041382,10092343,1.41337958,58.56432994
11/20/2020,1106,1109,1091.099976,1103.349976,1091.570801,8063554,1.355059398,57.53822597
11/23/2020,1105,1144.800049,1101.949951,1139.849976,1127.681152,10546363,1.994851683,66.60936481
11/24/2020,1145,1154.900024,1133.349976,1140.050049,1127.87915,8515426,1.593309229,61.43923027
11/25/2020,1137,1143.5,1111.25,1115.650024,1103.739624,8958701,1.114104082,52.69863917
