Date,Open,High,Low,Close,Adj Close,Volume,RS,RSI
05-12-2021,519.950012,522.549988,504.850006,507.600006,507.600006,7871107,1.522444502,60.35591669
5/14/2021,507.5,508.399994,492.75,498.450012,498.450012,6799879,1.593994964,61.449424
5/17/2021,498.450012,503.700012,495,499.799988,499.799988,5752650,1.509138541,60.14568412
5/18/2021,502,514.799988,500.899994,508.049988,508.049988,9380746,1.600522381,61.54618752
5/19/2021,508.299988,517.799988,505.149994,511.649994,511.649994,7490396,1.583551253,61.2935877
5/20/2021,516,517,503.600006,508.25,508.25,6292304,1.441247049,59.03732888
5/21/2021,510,515.900024,509.149994,512.700012,512.700012,5197503,1.47841776,59.65167713
5/24/2021,511.899994,518.5,509.649994,514.900024,514.900024,7436812,1.758953915,63.75437826
5/25/2021,517.400024,524.849976,515.700012,517.549988,517.549988,7954564,2.152103007,68.27514844
5/26/2021,514.900024,530.450012,514.75,527.25,527.25,8823190,2.186084179,68.61350975
5/27/2021,527.25,545,525.049988,540.900024,540.900024,29411126,1.925567688,65.81859978
5/28/2021,539,540.299988,532.650024,538.700012,538.700012,5878626,1.708459449,63.07864234
5/31/2021,538.700012,540.549988,531.049988,539.049988,539.049988,5386205,1.395769596,58.25975913
06-01-2021,541.900024,547,539.650024,542.799988,542.799988,5965044,1.954988133,66.15891656
06-02-2021,541.950012,545,533,543,543,4713568,3.399999593,77.27272517
06-03-2021,545.700012,549.900024,538.299988,539.049988,539.049988,5637991,5.251298375,84.00332315
06-04-2021,543.5,545.5,540.450012,541.200012,541.200012,4771716,5.335072876,84.21486194
06-07-2021,544.700012,551.200012,542.700012,548.25,548.25,4348433,5.209417406,83.89542956
06-08-2021,550,555.5,549.150024,550.599976,550.599976,5429734,5.078524459,83.54863904
06-09-2021,553,553.25,542.200012,544.200012,544.200012,6206899,3.864545528,79.44309506
06-10-2021,545.549988,555.5,545.549988,554.25,554.25,5720744,4.310759182,81.17030041
06-11-2021,555,558.950012,551.5,554.299988,554.299988,5612359,4.139442364,80.54263616
6/14/2021,553.900024,562.799988,553,561.599976,561.599976,5952159,4.509962559,81.85105635
6/15/2021,561.5,564,557,557.900024,557.900024,3837245,2.886162287,74.26767268
6/16/2021,559.900024,562.549988,553.5,555.25,555.25,5497269,1.759259436,63.75839158
6/17/2021,552.5,561.5,549.549988,558.700012,558.700012,4399348,2.197608233,68.72662543
6/18/2021,560,561.950012,546.049988,549.799988,549.799988,10007116,1.419922269,58.67635862
6/21/2021,544.75,544.75,535.200012,542.150024,542.150024,5390821,0.980452175,49.50648077
6/22/2021,545.25,559.950012,542.299988,556.549988,556.549988,5752921,1.407519171,58.4634668
6/23/2021,560,560.849976,538.400024,540.150024,540.150024,11242702,1.024070867,50.59461521
6/24/2021,541.900024,550.549988,539.200012,549.049988,549.049988,8668680,1.17177231,53.95465742
6/25/2021,549.849976,551,540.5,547.5,547.5,5039822,0.984126944,49.59999898
